Mobile,Message,Sender,Campaign name,Location,Provider,Send Time,Delivered Time,Status,Click Status,Click DateTime,Browser,Platform,IP Address,Click Count
9711010001,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, UTTAR PRADESH (E) ,VODAFONE,19-11-2022 09:30,19-11-2022 09:30,Delivered,Yes,19-11-2022 21:30,Chrome,Android,1.38.144.155,1
9711010002,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, null,null,19-11-2022 09:29,19-11-2022 09:30,Delivered,No,,,,,
9711010003,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, PUNJAB  ,AIRTEL,19-11-2022 09:29,19-11-2022 09:30,,,,,,,
9711010004,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, BIHAR & JHARKHAND ,UNINOR,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,19-11-2022 21:29,Chrome,Android,103.240.207.201,2
9711010005,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, UTTAR PRADESH (W) & UTTARAKHAND  ,RELIANCE,19-11-2022 09:29,19-11-2022 09:29,Delivered,No,,,,,
9711010006,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, null,null,19-11-2022 09:29,19-11-2022 09:29,Failed,,,,,,
9711010007,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, BIHAR & JHARKHAND ,TATA DOCOMO,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,19-11-2022 21:29,Chrome,Android,42.111.21.68,1
9711010008,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, ANDHRA PRADESH ,AIRTEL,19-11-2022 09:29,19-11-2022 09:29,Delivered,No,,,,,
9711010009,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, UTTAR PRADESH (W) & UTTARAKHAND  ,RELIANCE,19-11-2022 09:29,19-11-2022 09:30,,,,,,,
9711010010,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, HIMACHAL PRADESH ,AIRTEL,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,19-11-2022 21:29,Chrome,Linux,74.125.214.7,1
9711010011,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, KARNATAKA ,LOOP MOBILE,19-11-2022 09:29,19-11-2022 09:29,Delivered,No,,,,,
9711010012,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, null,null,19-11-2022 09:29,19-11-2022 09:29,Failed,,,,,,
9711010013,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, null,null,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,20-11-2022 02:39,Chrome,Android,137.97.67.175,1
9711010014,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, MUMBAI   ,AIRTEL,19-11-2022 09:29,19-11-2022 09:45,Delivered,No,,,,,
9711010015,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, DELHI,IDEA,19-11-2022 09:29,19-11-2022 09:29,,,,,,,
9711010016,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, null,null,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,19-11-2022 21:29,Chrome,Linux,74.125.214.5,1
9711010017,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, null,null,19-11-2022 09:29,19-11-2022 09:29,Delivered,No,,,,,
9711010018,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, MADHYA PRADESH & CHHATISGARH ,AIRTEL,19-11-2022 09:29,19-11-2022 09:29,Failed,,,,,,
9711010019,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, PUNJAB  ,RELIANCE,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,19-11-2022 22:30,Chrome,Linux,64.233.172.71,1
9711010020,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, PUNJAB  ,RELIANCE,19-11-2022 09:29,19-11-2022 09:29,Delivered,No,,,,,
9711010021,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, null,null,19-11-2022 09:29,19-11-2022 09:29,,,,,,,
9711010022,"Diversify your Portfolio with BTC, ETH and more! Invest with CoinDCX & get Rs. 250 Amazon Voucher *. Download App: https://mtalkz.com/",MTAMOI,APP2, MADHYA PRADESH & CHHATISGARH ,AIRTEL,19-11-2022 09:29,19-11-2022 09:29,Delivered,Yes,19-11-2022 21:29,Chrome,Linux,64.233.172.73,3
